x,y
-4.5588,-5.114
-5.9886,0.6525
-0.624,1.2642
-4.913,-0.6205
-0.7901,-6.3167
-4.497,-2.1279
-4.9557,-5.4251
-1.5607,-4.2803
-4.187,-4.6997
-5.3778,-2.0137
-1.6831,-6.1433
-1.2193,-4.537
-3.0988,-4.9161
-6.7358,-4.9109
-6.604,-9.3613
-5.7137,-1.2647
-2.519,-6.8544
-1.4764,-2.965
-6.7895,-7.5765
-8.8524,-8.0713
2.1872,-0.7607
-6.1199,-3.9746
-10.3112,-9.0096
-7.0773,-11.7791
-9.6638,-1.7022
-3.4172,-4.7677
-8.3348,-2.8477
-8.8797,-2.4324
0.0167,-5.0606
-7.7692,-4.8884
-4.5268,-6.1869
-5.6273,-7.3866
-2.6276,-3.3329
-4.1807,-7.2927
-6.7573,-6.7653
-7.9818,-2.5292
-10.8536,-4.9797
-10.4358,-3.3338
-1.0276,-7.5339
-2.8514,-1.7273
-0.7674,-13.4428
-3.0513,-2.7245
-6.8014,-7.3707
-5.4486,-9.1164
-6.9372,-9.9714
-0.7292,-4.7663
-5.3799,-9.2078
-2.8622,-2.6902
-8.5384,-6.2858
-2.4578,-6.4745
-1.1107,0.7849
-4.3638,-8.2465
-3.7838,-5.0088
-3.3315,-4.3056
0.0718,-5.6221
-3.3071,-7.8383
-7.1288,-9.5592
-4.5134,-5.2674
-5.9703,-7.9481
-0.2462,-11.4943
-4.3607,-3.0461
-7.1093,-0.3809
-6.669,-5.4686
-5.3759,-3.2203
-2.1503,-8.7434
-5.2601,-4.6266
-2.5733,-6.0409
-6.0446,-4.3838
-5.8519,-4.7744
-9.9594,-5.0148
-9.1534,-3.4227
-6.2267,-4.9702
-4.0532,-9.7998
-4.4896,-6.9808
-5.6849,-8.2449
-5.2805,-3.4754
-3.8601,-5.5265
-5.2627,-2.9341
-3.2649,-5.4249
-8.4307,-3.1935
-1.4678,-9.672
-7.6516,-7.8524
-2.6848,-6.8433
-12.016,-4.2492
-5.6572,-1.6931
-5.5224,-4.4463
-10.9268,-3.4861
-5.4106,-10.7556
-3.8026,-1.9718
-7.3701,-7.3926
-5.6198,-10.3972
-4.132,1.0558
0.1072,-10.8204
-1.7681,-0.6406
-8.966,-7.9079
-7.0554,-6.9045
-9.1141,-12.1064
3.0341,-1.6818
-12.7649,-1.5279
-8.5705,-6.3807
-5.2916,-11.5182
-4.4077,-9.5591
-8.0898,-5.5324
-5.3189,-5.1475
-5.4244,-4.7171
-6.1426,-4.0765
-7.2087,-3.3993
-8.4159,-6.109
-2.1301,-5.3906
-3.1602,-4.5077
-7.6085,-7.7611
-8.723,-2.3257
-3.9535,-8.4
-13.2422,-6.3742
-3.4222,-7.3173
-2.0677,-5.2231
-2.5261,-7.2252
-3.7594,-10.1466
-3.9068,-4.556
-3.7142,-6.096
-8.3171,-6.8793
-7.1677,-6.0492
-3.9571,-1.9168
0.0506,-8.3582
-6.4729,-6.7596
-0.3056,-3.2274
-8.1221,-4.1379
-6.9181,-7.5909
-6.1305,-2.6119
-7.7501,-6.8938
-4.9232,-2.8893
-0.0749,-2.6342
-6.6714,-5.6257
-11.4627,-8.0095
-9.5027,-2.6436
-3.6499,-1.927
-6.9306,-11.2028
-4.2821,-9.1634
-7.6511,-4.5045
-4.2801,-3.1086
-6.1572,-2.7522
-7.1279,-0.7989
-7.5176,-6.5558
-12.3352,-7.0933
-5.4271,-6.1564
4.3142,-3.0678
-6.9884,-1.168
-4.0158,-1.7574
-4.7814,-1.9415
-1.1623,-5.7437
-7.7061,-12.1828
-13.266,-10.204
2.8793,-7.4638
-5.2281,-3.5076
-10.6947,-7.6685
2.1571,-7.0969
-2.0584,-12.4651
-7.0302,-10.6424
-4.6389,-11.0651
-3.4434,-2.3081
-3.314,-7.955
-5.2512,0.8162
-2.4074,-5.1452
-10.4911,-9.7838
-7.0371,0.7254
-5.1988,-3.113
-0.9757,-6.964
-5.6703,-4.0261
-0.5057,-0.7822
-6.1469,-0.5229
-2.2398,-5.192
-5.2856,-8.4023
-4.2362,-5.6282
-11.4765,-7.5654
-1.6732,-7.1027
-4.7815,-5.5483
-4.8551,-4.0735
-8.386,-7.3773
-9.1335,-8.1001
-5.9428,-7.301
-7.3748,-7.5894
-2.9056,-5.2242
-10.7485,-4.0979
-5.1715,-3.9317
-6.8354,2.593
-8.3785,-2.3153
-5.0752,-7.171
-5.4118,-3.8349
-5.9846,-5.5044
-5.4704,-4.1709
-6.0293,-2.6409
-8.7381,-2.6897
-5.0204,-2.9291
